상급병실료|상급병실료|AB902|1인실|일반|150000||||||
검체검사료|일반화학검사|CZ242|아밀로이드 A [SAA]||40000||||||44476
검체검사료|일반화학검사|CZ246|허혈성 변형 알부민 검사[IMA]||45000||||||44482
검체검사료|자가면역질환검사|CZ430|AIT [Autoimmune Target Test]||150000||||||
검체검사료|근골기능검사|EZ776|DITI [체온열검사]|||80000|120000|||부위에 따라 다름|
검체검사료|감염검사|D6620|SARS-CoV-2 항원검사 [일반면역검사]-간이검사||30000||||||44519
성장판검사|||성장판검사||50000||||||
초음파검사료|초음파검사료|EB414|두경부-경부 초음파-갑상선·부갑상선|Thyroid�Parathyroid gland SONO|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB415|두경부-경부 초음파-갑상선·부갑상선 제외한 경부|Neck SONO|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB422|흉부-흉벽·흉막·늑골|Chest�Rib SONO|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB431|심장-경흉부 심초음파-단순|Echocardiography SONO|150000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB461|근골격 연부-관절 초음파-손가락(편측)|Finger SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB462|근골격 연부-관절 초음파-발가락(편측)|Toe SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB463|근골격 연부-관절 초음파-주관절(편측)|Elbow SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB464|근골격 연부-관절 초음파-슬관절(편측)|Knee SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB465|근골격 연부-관절 초음파-고관절(편측)|Hip SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB466|근골격 연부-관절 초음파-견관절(편측)|Shoulder SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB467|근골격 연부-관절 초음파-손목관절(편측)|Wrist SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB468|근골격 연부-관절 초음파-발목관절(편측)|Ankle SONO(편측)|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB469|근골격 연부-관절 초음파-류마티스 질환에 의한 다발성관절염|Rheumatism SONO(3부위이상)|100000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB470|근골격 연부-연부조직 초음파-일반 |Soft Tissue SONO|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB482|혈관-두개외 혈관 도플러 초음파-경동맥|Carotid SONO|50000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB487|혈관-사지혈관 도플러 초음파-하지-동맥|Inferior Arteria Color Doppler SONO|100000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EB488|혈관-사지혈관 도플러 초음파-하지-정맥|Inferior Vena Color Doppler SONO|100000|||||급여인정기준 외 실시한경우 비급여|
초음파검사료|초음파검사료|EZ985|수술 중 초음파|Intraoperative Ultrasonography(Guiding SONO)|20000|||||급여인정기준 외 실시한경우 비급여|44509
자기공명영상 진단료(MRI)|척추|HE109|척추-경추-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|척추|HE110|척추-흉추-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|척추|HE111|척추-요천추-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|척추|HE112|척추-척추강 Myelogram (단독)||150000|||||급여기준 초과 실시 경우 비급여|44485
자기공명영상 진단료(MRI)|척추|HE113|척추-요천추-흉추와동시촬영-일반|2 Level 동시 촬영 총비용|550000|||||급여기준 초과 실시 경우 비급여|44518
자기공명영상 진단료(MRI)|척추전체|HEZZZ|척추-부위별 일부|T2/Sag/Axial v.만 촬영|200000|||||급여기준 초과 실시 경우 비급여|44510
자기공명영상 진단료(MRI)|근골격계|HE115|근골격계-견관절-일반  ||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE116|근골격계-주관절-일반||400000|||||급여기준 초과 실시 경우 비급여|
